Time:250Hz,Epoch,Electrode,Event Id,Event Date,Event Duration
0,0,-13.41083955,,,
0.004,0,20.41148495,,,
0.008,0,44.5956832,,,
0.012,0,46.55255528,,,
0.016,0,65.19346141,,,
0.02,0,45.00824382,,,
0.024,0,2.603828062,,,
0.028,0,19.46679434,,,
0.032,1,43.29673937,,,
0.036,1,14.90246804,,,
0.04,1,-34.00410436,,,
0.044,1,-32.79539682,,,
0.048,1,-37.56121593,,,
0.052,1,-94.33698936,,,
0.056,1,-85.45256607,,,
0.06,1,-35.49206204,,,
0.064,2,-41.0813071,,,
0.068,2,-46.82066106,,,
0.072,2,-21.95890855,,,
0.076,2,6.542412659,,,
0.08,2,34.51538437,,,
0.084,2,56.31599472,,,
0.088,2,50.25907183,,,
0.092,2,-17.35124976,,,
0.096,3,-64.53092709,,,
0.1,3,-19.43257476,,,
0.104,3,36.47521421,,,
0.108,3,45.59457485,,,
0.112,3,46.17105997,,,
0.116,3,67.91097333,,,
0.12,3,61.30239457,,,
0.124,3,40.76412421,,,
0.128,4,65.38210843,,,
0.132,4,65.27274071,,,
0.136,4,18.2270061,,,
0.14,4,11.82463924,,,
0.144,4,18.20206473,,,
0.148,4,-29.36701591,,,
0.152,4,-54.63796165,,,
0.156,4,-0.608788594,,,
0.16,5,47.00187527,,,
0.164,5,66.98590346,,,
0.168,5,82.06533879,,,
0.172,5,59.77949529,,,
0.176,5,14.29885109,,,
0.18,5,-3.082418242,,,
0.184,5,34.13815314,,,
0.188,5,83.64150838,,,
0.192,6,86.42987777,,,
0.196,6,29.89276132,,,
0.2,6,11.29395896,,,
0.204,6,52.02654839,,,
0.208,6,47.35124318,,,
0.212,6,44.84137369,,,
0.216,6,62.10476225,,,
0.22,6,55.25104881,,,
0.224,7,62.48403317,,,
0.228,7,74.6647915,,,
0.232,7,36.12442732,,,
0.236,7,-33.02160795,,,
0.24,7,-45.32684609,,,
0.244,7,-8.783717864,,,
0.248,7,6.980688252,,,
0.252,7,41.66225911,,,
0.256,8,95.62925564,,,
0.26,8,75.3750307,,,
0.264,8,25.42405422,,,
0.268,8,4.883069218,,,
0.272,8,14.72307321,,,
0.276,8,32.99647435,,,
0.28,8,31.14565871,,,
0.284,8,45.77597808,,,
0.288,9,53.88041786,,,
0.292,9,41.20970186,,,
0.296,9,48.38290965,,,
0.3,9,48.5149803,,,
0.304,9,26.2161158,,,
0.308,9,7.726096249,,,
0.312,9,2.631574958,,,
0.316,9,-0.684345584,,,
0.32,10,2.857733993,,,
0.324,10,47.64897134,,,
0.328,10,101.4413293,,,
0.332,10,94.96131796,,,
0.336,10,56.14208579,,,
0.34,10,52.32020415,,,
0.344,10,80.23555168,,,
0.348,10,69.09864843,,,
0.352,11,28.06483635,,,
0.356,11,68.40767212,,,
0.36,11,96.763,,,
0.364,11,47.43219635,,,
0.368,11,34.34472346,,,
0.372,11,36.19903707,,,
0.376,11,15.86603927,,,
0.38,11,30.1806091,,,
0.384,12,72.62496322,,,
0.388,12,53.26822482,,,
0.392,12,0.392261557,,,
0.396,12,20.18358233,,,
0.4,12,69.96836788,,,
0.404,12,85.69465656,,,
0.408,12,42.31462724,,,
0.412,12,-15.78024462,,,
0.416,13,37.67358812,,,
0.42,13,98.15271942,,,
0.424,13,71.27749511,,,
0.428,13,47.22005183,,,
0.432,13,4.427790378,,,
0.436,13,-56.35305738,,,
0.44,13,-54.77609584,,,
0.444,13,-13.21648039,,,
0.448,14,37.28401742,,,
0.452,14,83.25236378,,,
0.456,14,89.26052074,,,
0.46,14,65.87863835,,,
0.464,14,53.45557963,,,
0.468,14,61.18725706,,,
0.472,14,51.89582789,,,
0.476,14,26.68395296,,,
0.48,15,23.051285,,,
0.484,15,45.47376966,,,
0.488,15,62.94496888,,,
0.492,15,72.45446527,,,
0.496,15,73.88308467,,,
0.5,15,37.9731269,,,
0.504,15,-18.24552847,,,
0.508,15,-40.82153523,,,
0.512,16,-17.06394577,,,
0.516,16,42.31219933,,,
0.52,16,88.17019753,,,
0.524,16,81.62249875,,,
0.528,16,65.49920141,,,
0.532,16,39.00908558,,,
0.536,16,5.849772785,,,
0.54,16,17.64948901,,,
0.544,17,61.00307126,,,
0.548,17,30.01451371,,,
0.552,17,-30.31451987,,,
0.556,17,19.18258582,,,
