Time:1x17:512,End Time,Electrode:0.000000,Electrode:16.000000,Electrode:32.000000,Electrode:48.000000,Electrode:64.000000,Electrode:80.000000,Electrode:96.000000,Electrode:112.000000,Electrode:128.000000,Electrode:144.000000,Electrode:160.000000,Electrode:176.000000,Electrode:192.000000,Electrode:208.000000,Electrode:224.000000,Electrode:240.000000,Electrode:256.000000,Event Id,Event Date,Event Duration
0.0000000000,0.0625000000,831.0000000000,1228.6558737914,278.8428174505,751.6961309981,1123.3349570539,402.0348986229,370.4210861143,776.6966960773,761.8464412203,187.5598107552,186.1322998503,138.8575306354,118.5688587309,68.2836969240,91.7260544808,72.5609629341,45.0000000000,,,
0.0625000000,0.1250000000,4981.0000000000,787.5937363553,1275.5920677887,1084.3332534578,550.1363570825,619.1518393242,664.7545521588,894.3404625521,553.1527817882,275.9166594198,270.5364133131,195.5082535067,238.0965951374,213.5386518920,214.0848220926,187.1560921173,139.0000000000,,,
0.1250000000,0.1875000000,7261.0000000000,1588.7905090401,1185.7403696851,1519.9121552994,256.6715532557,735.3427055633,350.6051349602,878.1594990270,582.0601343504,170.3871160525,102.8210667600,99.4666052222,56.3889505960,61.8141097215,24.0757817931,32.6863758930,1.0000000000,,,
0.1875000000,0.2500000000,5896.0000000000,1118.0859136829,613.1400408066,848.5582608929,702.6478271293,670.0011943433,86.0439825969,664.9740094283,973.9260752234,351.5184914668,255.2883423739,160.5501848001,202.7955399668,194.4017648334,185.7621750157,185.5345682206,126.0000000000,,,
0.2500000000,0.3125000000,3620.0000000000,1058.7444374069,521.9959975050,85.2965523825,519.8989011015,466.0598966388,572.4519294721,833.0829162300,754.2360373252,390.3526785975,194.6424974510,224.1722808925,123.8108744555,129.6795612868,130.0356305725,126.6669965623,84.0000000000,,,
0.3125000000,0.3750000000,2212.0000000000,864.9737637047,468.0828069373,241.4642855230,657.4463367945,57.1721510196,313.6286300244,574.2105803122,918.6163508233,545.4002847735,340.1339472735,394.7895665126,256.8819071781,246.0244465643,217.3579218497,214.8688920232,144.0000000000,,,
0.3750000000,0.4375000000,2527.0000000000,511.7083256732,396.0849036372,479.0808343363,584.6014780282,514.7765464751,61.7170737767,523.3156596487,844.9674549946,379.4341406310,252.4703202694,165.5396582252,189.9608167155,144.9543289791,147.1546441612,158.8098490725,111.0000000000,,,
0.4375000000,0.5000000000,3633.0000000000,669.6096032076,547.1111240140,440.1646147666,956.0807507751,410.0491866758,306.5623827836,1198.8193323913,679.5778101145,108.3913592537,48.9565755226,54.1096386561,15.0199200149,11.2108108620,15.8800867542,21.7196214170,3.0000000000,,,
0.5000000000,0.5625000000,2677.0000000000,762.1569063849,638.7850340251,797.1197072817,1322.0388375689,372.0814026417,723.9373649478,979.6994697969,677.0184635592,196.2869499037,80.2498052049,81.6059914917,25.1656901235,32.9321412338,16.3811080979,2.1841530979,13.0000000000,,,
0.5625000000,0.6250000000,1911.0000000000,1329.7091493084,213.4093908935,602.1638643951,375.5912421261,103.4964747486,65.3471538890,967.6360537373,893.4036042014,295.9299046142,199.5171978996,209.3519777492,139.1661555056,121.9774337665,107.8659774877,107.8144355076,77.0000000000,,,
0.6250000000,0.6875000000,303.0000000000,427.6491070165,732.4631816414,491.8390818728,678.0289111232,133.2969408483,441.8482404298,995.0948395355,573.1195337798,183.1857664443,118.6273046322,36.2978612124,26.0920616490,54.8420706371,24.5638466962,39.8312971498,17.0000000000,,,
0.6875000000,0.7500000000,1116.0000000000,210.8328071888,1008.9131625585,392.8740087917,877.6285750864,472.5560373265,656.0708590430,673.8206720968,765.9817230196,200.6644617972,95.2316171414,33.8081092382,72.8840462092,36.3670668752,28.6390891516,24.0885042806,8.0000000000,,,
0.7500000000,0.8125000000,3.0000000000,1542.7728345763,1443.9993547105,345.1120974790,648.6698996400,806.9183096739,295.7194942327,540.8829472663,894.6831841496,256.7025430500,239.2563337846,209.3848122195,134.0125415813,120.0848795655,105.5473877946,120.4305876421,77.0000000000,,,
0.8125000000,0.8750000000,3501.0000000000,2107.0480001197,1503.7006118493,761.2100293716,826.6515605102,987.4381126814,573.9738993392,848.4616511513,1047.9933205894,490.7810694057,388.6481352444,253.5286277034,284.3856492618,274.5953476260,266.8015363008,251.8122086703,181.0000000000,,,
