Time:250Hz,Epoch,Electrode,Attention,Meditation,Event Id,Event Date,Event Duration
0,0,-102.5598833,1.971001406,32.85002344,,,
0.004,0,-159.9637232,3.147037416,52.45004721,,,
0.008,0,-171.0156457,3.062282578,51.13747517,,,
0.012,0,-193.1268687,2.979779235,49.63898823,,,
0.016,0,-214.0194733,3.131540325,50.46679352,,,
0.02,0,-224.0538263,2.728256958,49.04889935,,,
0.024,0,-234.8705497,1.520766742,44.8226836,,,
0.028,0,-261.4723611,0.879354193,42.57773968,,,
0.032,1,-331.7604828,0.973926751,42.90874363,,,
0.036,1,-411.4251355,1.012308072,43.04307825,,,
0.04,1,-396.52219,0.999563383,42.99847184,,,
0.044,1,-343.7803122,1,43,,,
0.048,1,-323.2357068,1,43,,,
0.052,1,-288.9044761,1,43,,,
0.056,1,-268.8681232,1,43,,,
0.06,1,-296.7807422,1,43,,,
0.064,2,-298.3590472,1,43,,,
0.068,2,-268.991249,1,43,,,
0.072,2,-270.5277044,1,43,,,
0.076,2,-301.4762321,1,43,,,
0.08,2,-289.9872369,1,43,,,
0.084,2,-241.1959449,1,43,,,
0.088,2,-228.5658388,1,43,,,
0.092,2,-245.151431,1,43,,,
0.096,3,-252.9275742,1,43,,,
0.1,3,-275.1559644,1,43,,,
0.104,3,-303.2795258,1,43,,,
0.108,3,-273.4640535,1,43,,,
0.112,3,-195.1055074,1,43,,,
0.116,3,-142.1992535,1,43,,,
0.12,3,-138.2425317,1,43,,,
0.124,3,-144.8019684,1,43,,,
0.128,4,-166.3863788,1,43,,,
0.132,4,-181.8578503,1,43,,,
0.136,4,-152.8367575,1,43,,,
0.14,4,-117.4821312,1,43,,,
0.144,4,-98.42942342,1,43,,,
0.148,4,-60.44810821,1,43,,,
0.152,4,-22.75959381,1,43,,,
0.156,4,-3.045559414,1,43,,,
0.16,5,6.930639396,1,43,,,
0.164,5,16.7993375,1,43,,,
0.168,5,26.44968686,1,43,,,
0.172,5,23.27373209,1,43,,,
0.176,5,5.669771853,1,43,,,
0.18,5,1.34970758,1,43,,,
0.184,5,10.13979308,1,43,,,
0.188,5,4.996192788,1,43,,,
0.192,6,-7.6635638,1,43,,,
0.196,6,-3.086955311,1,43,,,
0.2,6,16.14458621,1,43,,,
0.204,6,45.17181699,1,43,,,
0.208,6,73.42726561,1,43,,,
0.212,6,48.61200594,1,43,,,
0.216,6,8.426640378,1,43,,,
0.22,6,35.19759002,1,43,,,
0.224,7,86.90596839,1,43,,,
0.228,7,102.8060808,1,43,,,
0.232,7,114.4755326,1,43,,,
0.236,7,109.1627349,1,43,,,
0.24,7,60.82338158,1,43,,,
0.244,7,52.65003836,1,43,,,
0.248,7,86.06529265,1,43,,,
0.252,7,6.497214988,1,43,,,
0.256,8,-15.90836168,1,43,,,
0.26,8,135.7785101,1,43,,,
0.264,8,223.7107819,1,43,,,
0.268,8,263.0095484,1,43,,,
0.272,8,301.4134838,1,43,,,
0.276,8,203.656359,1,43,,,
0.28,8,17.65103643,1,43,,,
0.284,8,-50.72235263,1,43,,,
0.288,9,51.28607097,1,43,,,
0.292,9,167.9803321,1,43,,,
0.296,9,235.3639088,1,43,,,
0.3,9,264.2783032,1,43,,,
0.304,9,216.3308292,1,43,,,
0.308,9,150.2184354,1,43,,,
0.312,9,132.6494395,1,43,,,
0.316,9,171.4706794,1,43,,,
0.32,10,213.6751367,1,43,,,
0.324,10,189.3085049,1,43,,,
0.328,10,145.6297937,1,43,,,
0.332,10,164.6552154,1,43,,,
0.336,10,180.5713146,1,43,,,
0.34,10,154.5803803,1,43,,,
0.344,10,146.6985324,1,43,,,
0.348,10,156.9035673,1,43,,,
0.352,11,145.0795032,1,43,,,
0.356,11,118.0339195,1,43,,,
0.36,11,91.17505425,1,43,,,
0.364,11,80.90603153,1,43,,,
0.368,11,79.68921939,1,43,,,
0.372,11,66.32367084,1,43,,,
0.376,11,44.74848079,1,43,,,
0.38,11,38.45761376,1,43,,,
0.384,12,45.28223691,1,43,,,
0.388,12,56.73575997,1,43,,,
0.392,12,71.1616085,1,43,,,
0.396,12,74.52086396,1,43,,,
0.4,12,84.8239309,1,43,,,
0.404,12,107.8845546,1,43,,,
0.408,12,124.9578512,1,43,,,
0.412,12,123.9427301,1,43,,,
0.416,13,117.8514699,1,43,,,
0.42,13,121.3782326,1,43,,,
0.424,13,125.8830423,1,43,,,
0.428,13,122.2990539,1,43,,,
0.432,13,127.6374421,1,43,,,
0.436,13,115.0540191,1,43,,,
0.44,13,84.41834766,1,43,,,
0.444,13,59.58372597,1,43,,,
0.448,14,56.82555699,1,43,,,
0.452,14,71.24702993,1,43,,,
0.456,14,73.64023359,1,43,,,
0.46,14,46.91170552,1,43,,,
0.464,14,20.5514881,1,43,,,
0.468,14,31.93226046,1,43,,,
0.472,14,68.10061392,1,43,,,
0.476,14,94.59003374,1,43,,,
0.48,15,116.9320793,1,43,,,
0.484,15,148.2662173,1,43,,,
0.488,15,148.7722874,1,43,,,
0.492,15,119.8954118,1,43,,,
0.496,15,82.72826729,1,43,,,
0.5,15,35.78759082,1,43,,,
