Time:250Hz,Epoch,Electrode,Attention,Meditation,Event Id,Event Date,Event Duration
0,0,30.87035663,0,0,,,
0.004,0,43.18011978,0,0,,,
0.008,0,41.29429921,0,0,,,
0.012,0,55.32647062,0,0,,,
0.016,0,78.4315952,0,0,,,
0.02,0,66.97703393,0,0,,,
0.024,0,57.09030137,0,0,,,
0.028,0,74.78020259,0,0,,,
0.032,1,49.91507079,0,0,,,
0.036,1,19.61668324,0,0,,,
0.04,1,50.49808873,0,0,,,
0.044,1,56.34932201,0,0,,,
0.048,1,34.53635288,0,0,,,
0.052,1,66.22814945,0,0,,,
0.056,1,63.60459346,0,0,,,
0.06,1,28.71515055,0,0,,,
0.064,2,31.81253395,0,0,,,
0.068,2,24.71614667,0,0,,,
0.072,2,-5.390955342,0,0,,,
0.076,2,4.255863208,0,0,,,
0.08,2,40.11772795,0,0,,,
0.084,2,48.1223076,0,0,,,
0.088,2,38.00039139,0,0,,,
0.092,2,23.8708727,0,0,,,
0.096,3,-12.83773203,0,0,,,
0.1,3,-39.54002979,0,0,,,
0.104,3,-17.18762316,0,0,,,
0.108,3,22.28947594,0,0,,,
0.112,3,43.6593449,0,0,,,
0.116,3,50.46629271,0,0,,,
0.12,3,32.93537172,0,0,,,
0.124,3,8.999953217,0,0,,,
0.128,4,26.23151997,0,0,,,
0.132,4,60.85862413,0,0,,,
0.136,4,66.09939743,0,0,,,
0.14,4,55.47751501,0,0,,,
0.144,4,52.24092637,0,0,,,
0.148,4,34.97423625,0,0,,,
0.152,4,27.8386073,0,0,,,
0.156,4,17.68715535,0,0,,,
0.16,5,-7.305389314,0,0,,,
0.164,5,-19.16016118,0,0,,,
0.168,5,-7.619055965,0,0,,,
0.172,5,-9.486576468,0,0,,,
0.176,5,-0.361695943,0,0,,,
0.18,5,47.16008837,0,0,,,
0.184,5,60.13353619,0,0,,,
0.188,5,42.50540036,0,0,,,
0.192,6,45.49779468,0,0,,,
0.196,6,50.65619438,0,0,,,
0.2,6,42.70996352,0,0,,,
0.204,6,19.46734313,0,0,,,
0.208,6,-4.107396427,0,0,,,
0.212,6,-20.08067929,0,0,,,
0.216,6,-44.79360036,0,0,,,
0.22,6,-50.32661103,0,0,,,
0.224,7,9.40501033,0,0,,,
0.228,7,95.32547058,0,0,,,
0.232,7,127.9115423,0,0,,,
0.236,7,117.5028988,0,0,,,
0.24,7,90.24050786,0,0,,,
0.244,7,82.00452283,0,0,,,
0.248,7,97.38298216,0,0,,,
0.252,7,142.2430199,0,0,,,
0.256,8,148.9462087,0,0,,,
0.26,8,93.87167215,0,0,,,
0.264,8,71.61270148,0,0,,,
0.268,8,73.27341316,0,0,,,
0.272,8,50.63118208,0,0,,,
0.276,8,37.21461782,0,0,,,
0.28,8,42.35002019,0,0,,,
0.284,8,17.00991997,0,0,,,
0.288,9,-11.95226749,0,0,,,
0.292,9,9.424148544,0,0,,,
0.296,9,23.74616262,0,0,,,
0.3,9,20.65365111,0,0,,,
